Call_Unnamed: 0,Call_OI,Call_CHNG IN OI,Call_VOLUME,Call_IV,Call_LTP,Call_CHNG,Call_BID QTY,Call_BID,Call_ASK,Call_ASK QTY,STRIKE,Put_BID QTY.1,Put_BID.1,Put_ASK.1,Put_ASK QTY.1,Put_CHNG.1,Put_LTP.1,Put_IV.1,Put_VOLUME.1,Put_CHNG IN OI.1,Put_OI.1,Put_Unnamed: 22
-,-,-,-,-,-,-,-,-,-,-,180.0,"2,650",0.15,0.65,"2,650",-1.00,0.15,56.51,1,-1,16,
,-,-,-,-,-,-,"18,550",49.20,53.00,"7,950",190.0,"5,300",0.25,1.2,"5,300",-,0.65,-,-,-,32,
,-,-,-,-,-,-,"18,550",44.20,48.35,"7,950",195.0,"10,600",0.2,1.6,"7,950",-,2.85,-,-,-,6,
,4,3,11,59.36,42.60,7.20,"13,250",40.15,42.85,"10,600",200.0,"26,500",0.9,1.2,"7,950",-,0.90,53.78,126,-21,251,
,-,-,-,-,-,-,"7,950",35.10,39.50,"18,550",205.0,"2,650",1.0,2.95,"10,600",-0.25,1.05,50.04,4,1,35,
,-,-,-,-,-,-,"7,950",31.35,34.50,"7,950",210.0,"5,300",2.0,2.3,"7,950",0.10,2.00,53.40,70,-45,104,
,-,-,-,-,-,-,"13,250",27.25,29.85,"7,950",215.0,"2,650",2.85,3.05,"2,650",0.55,3.00,54.29,36,16,84,
,17,-,-,-,28.20,-,"18,550",23.55,26.20,"18,550",220.0,"2,650",4.0,4.25,"2,650",0.85,4.20,54.61,139,10,135,
,11,1,4,53.39,21.80,1.75,"2,650",20.40,22.30,"18,550",225.0,"2,650",5.35,5.55,"2,650",0.80,5.35,53.13,102,3,54,
,140,1,63,49.83,17.80,-3.70,"2,650",17.30,18.95,"2,650",230.0,"5,300",6.55,7.85,"2,650",1.25,7.05,53.11,172,1,278,
,109,5,43,50.47,14.95,-3.35,"7,950",13.45,15.45,"2,650",235.0,"7,950",7.6,10.2,"26,500",1.30,8.90,52.32,118,39,92,
,397,2,313,48.23,11.80,-3.40,"2,650",11.55,12.05,"2,650",240.0,"2,650",10.05,12.45,"2,650",1.70,11.30,52.55,236,26,216,
,214,42,367,49.76,9.85,-2.95,"13,250",8.10,10.00,"2,650",245.0,"5,300",13.2,14.35,"2,650",1.30,13.40,50.04,131,-12,44,
,741,105,"1,358",48.04,7.50,-3.20,"10,600",7.50,7.75,"2,650",250.0,"2,650",16.25,17.4,"2,650",2.35,17.05,52.92,113,8,89,
,97,11,143,48.67,6.00,-2.65,"2,650",5.80,7.05,"2,650",255.0,"7,950",18.75,21.6,"26,500",-,21.70,-,-,-,2,
,236,-25,479,48.42,4.60,-2.40,"2,650",4.50,4.60,"2,650",260.0,"7,950",22.45,24.95,"18,550",-,29.50,-,-,-,32,
,50,-9,83,48.36,3.50,-1.90,"5,300",3.35,3.60,"2,650",265.0,"7,950",26.2,28.75,"2,650",-,-,-,-,-,-,
,155,-24,219,48.79,2.70,-1.55,"2,650",2.50,2.75,"7,950",270.0,"7,950",30.35,32.5,"5,300",0.30,27.50,-,4,-,39,
,28,7,71,49.43,2.10,-1.35,"5,300",1.80,2.05,"2,650",275.0,"2,650",35.0,37.25,"10,600",-,32.60,-,-,-,13,
,456,-8,309,48.93,1.50,-1.10,"15,900",1.45,1.60,"7,950",280.0,"2,650",39.7,41.5,"5,300",0.70,36.80,-,2,1,390,
,36,-16,20,53.94,1.60,-0.40,"53,000",0.75,2.50,"10,600",285.0,"7,950",43.35,46.3,"2,650",-,64.50,-,-,-,14,
,82,8,129,49.74,0.85,-0.65,"18,550",0.80,0.95,"5,300",290.0,"7,950",48.4,50.9,"5,300",-3.50,45.50,-,14,7,17,
,369,-4,104,50.05,0.45,-0.40,"7,950",0.45,0.65,"2,650",300.0,"18,550",58.05,60.35,"5,300",6.45,59.95,67.25,7,3,300,
